Monthly data for lake:, ont,,,,,,,,,,,
Subbasin:, Overlake,,,,,,,,,,,
DataType:, Precipitation,,,,,,,,,,,
DataType:, Sum of daily precipitation values,,,,,,,,,,,
Units:, mm,,,,,,,,,,,
YYYY,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1999,138.82,31.06,78.29,40.61,53.16,66.5,71.5,59.82,104.36,84.75,99.7,54.68
2000,60.8,54.51,43.13,108.43,118.62,151.16,77.32,81.87,83.04,39.28,80.14,93.24
2001,48.59,69.81,71.19,26.64,82.28,53.43,36.82,64.59,82.93,91.54,76.11,78.98
2002,57.08,45.63,78.71,108.07,122.19,84.12,61.45,32.06,71.79,75.35,81.9,56.81
2003,73.37,71.04,66.38,60.02,134.66,63.82,84.58,62.99,83.57,88.02,124.99,88.98
2004,75.94,35.45,58.11,93.94,117.27,69.12,130.61,68.33,90.7,51.69,83.27,118.18
2005,74.29,68.86,31.21,120.4,25.5,42.63,71.38,111.01,98.62,98.96,116.69,71.75
2006,91.01,59.32,47.94,67.26,70.11,80.34,139.5,53.01,136.55,161.01,88.16,100.56
2007,83.87,48.25,59.75,89.08,40.94,40.34,81.42,32.01,52.93,71.02,95.75,110.41
2008,55.53,114.15,96.84,66,62.49,91.41,129.38,102.38,59.41,110.24,97.71,114.8
2009,71.11,53.2,65.52,110.03,97.02,77.2,108.4,94.86,56.1,93.18,43.29,91.4
2010,62.65,46.81,52.46,35.12,59.33,156.33,95.27,66.76,106.1,79.18,93.18,65.85
2011,60.83,73.74,105.6,137.3,130.84,65.51,64.32,130.23,100.57,105.99,88.8,80.76
2012,90.97,43.41,40.06,57.23,57.35,86.45,57.88,53.91,132.23,112.92,24.63,116.23
2013,59.64,91.58,27.16,86.32,70.04,142.33,79.89,74.8,80.43,113.14,72.89,83.49
2014,80.4,81.18,58.15,109.92,81.93,102.2,116.42,69.33,51.6,79.09,59.26,50.43
2015,53.43,63.4,28.12,77.09,59.53,184.64,59.42,84.47,104.88,94.64,33.64,67.22
2016,61.34,95.38,81.29,48.8,37.7,49.44,36.6,87.28,65.01,111.02,60.41,84.4
2017,90.26,69.83,74.62,133.48,164.2,139.95,107.47,75.72,48.72,159.93,86.7,84.43
2018,86.13,81,53.55,112.88,62.26,60.2,58.01,104.7,74.77,91.93,142.07,77.31
2019,81.78,72.32,60.5,96.86,124.55,107.45,80.8,76.24,78.21,139.79,56.47,98.83
2020,81.49,60.84,69.71,72.69,63.72,43.67,67.96,113.4,50.5,89.31,61.89,85.05
2021,29.89,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA
